"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
13,"CISO","VEA",2024-07-14 11:10:48.907738,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
14,"CISO","PGAE",2024-07-14 12:29:08.410542,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
14,"CISO","SCE",2024-07-14 12:29:08.412177,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
14,"CISO","SDGE",2024-07-14 12:29:08.413571,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
14,"CISO","VEA",2024-07-14 12:29:08.414939,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
15,"CISO","PGAE",2024-07-14 13:31:46.769671,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
15,"CISO","SCE",2024-07-14 13:31:46.771354,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
15,"CISO","SDGE",2024-07-14 13:31:46.772795,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
15,"CISO","VEA",2024-07-14 13:31:46.774178,2024-07-13 08:00:00,2024-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
16,"CISO","PGAE",2024-07-14 14:14:34.042104,2024-07-13 08:00:00,2024-07-14 07:00:00,2024-07-13 08:00:00,2024-07-14 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
16,"CISO","SCE",2024-07-14 14:14:36.394108,2024-07-13 08:00:00,2024-07-14 07:00:00,2024-07-13 08:00:00,2024-07-14 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
16,"CISO","SDGE",2024-07-14 14:14:38.244331,2024-07-13 08:00:00,2024-07-14 07:00:00,2024-07-13 08:00:00,2024-07-14 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
16,"CISO","VEA",2024-07-14 14:14:39.923568,2024-07-13 08:00:00,2024-07-14 07:00:00,2024-07-13 08:00:00,2024-07-14 07:00:00,TRUE,TRUE,24,0,"refresh",TRUE,TRUE,NA
17,"CISO","PGAE",2024-07-14 15:17:07.658828,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
17,"CISO","SCE",2024-07-14 15:17:07.660515,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
17,"CISO","SDGE",2024-07-14 15:17:07.661924,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
17,"CISO","VEA",2024-07-14 15:17:07.663295,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
18,"CISO","PGAE",2024-07-14 16:13:01.241744,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
