"model","yhat","lower","upper","subba","forecast_label","method","time"
"GLMNET",11501.6151955794,9322.51580416153,13680.7145869973,"SCE","2024-07-14","model18",2024-07-14 16:00:00
"GLMNET",13062.0913426244,10882.9919512065,15241.1907340423,"SCE","2024-07-14","model18",2024-07-14 17:00:00
"GLMNET",13530.5277409603,11351.4283495424,15709.6271323782,"SCE","2024-07-14","model18",2024-07-14 18:00:00
"GLMNET",13735.7414340539,11556.642042636,15914.8408254718,"SCE","2024-07-14","model18",2024-07-14 19:00:00
"GLMNET",14043.1262634142,11864.0268719963,16222.2256548321,"SCE","2024-07-14","model18",2024-07-14 20:00:00
"GLMNET",14339.867337919,12160.7679465011,16518.9667293369,"SCE","2024-07-14","model18",2024-07-14 21:00:00
"GLMNET",14701.8579613243,12522.7585699064,16880.9573527422,"SCE","2024-07-14","model18",2024-07-14 22:00:00
"GLMNET",15031.629379714,12852.5299882961,17210.7287711319,"SCE","2024-07-14","model18",2024-07-14 23:00:00
"LM",2027.76643637045,1640.54394725782,2414.98892548308,"SDGE","2024-07-14","model7",2024-07-14
"LM",2254.27255248849,1867.05006337586,2641.49504160112,"SDGE","2024-07-14","model7",2024-07-14 01:00:00
"LM",2493.33344448902,2106.11095537639,2880.55593360165,"SDGE","2024-07-14","model7",2024-07-14 02:00:00
"LM",2723.40760848919,2336.18511937656,3110.63009760182,"SDGE","2024-07-14","model7",2024-07-14 03:00:00
"LM",2805.03873989517,2417.81625078254,3192.2612290078,"SDGE","2024-07-14","model7",2024-07-14 04:00:00
"LM",2826.33687666191,2439.11438754928,3213.55936577454,"SDGE","2024-07-14","model7",2024-07-14 05:00:00
"LM",2763.32276833223,2376.1002792196,3150.54525744486,"SDGE","2024-07-14","model7",2024-07-14 06:00:00
"LM",2604.85948765069,2217.63699853806,2992.08197676332,"SDGE","2024-07-14","model7",2024-07-14 07:00:00
"LM",2437.36364729999,2050.14115818736,2824.58613641262,"SDGE","2024-07-14","model7",2024-07-14 08:00:00
"LM",2403.7755282348,2016.55303912217,2790.99801734743,"SDGE","2024-07-14","model7",2024-07-14 09:00:00
"LM",2302.51079081507,1915.28830170244,2689.7332799277,"SDGE","2024-07-14","model7",2024-07-14 10:00:00
"LM",2170.28231766635,1783.05982855372,2557.50480677898,"SDGE","2024-07-14","model7",2024-07-14 11:00:00
"LM",2092.3872081706,1705.16471905797,2479.60969728323,"SDGE","2024-07-14","model7",2024-07-14 12:00:00
"LM",2077.90066040506,1690.67817129243,2465.12314951769,"SDGE","2024-07-14","model7",2024-07-14 13:00:00
"LM",2083.28703543942,1696.06454632679,2470.50952455205,"SDGE","2024-07-14","model7",2024-07-14 14:00:00
"LM",2079.21446717722,1691.99197806459,2466.43695628985,"SDGE","2024-07-14","model7",2024-07-14 15:00:00
"LM",2056.88604373365,1669.66355462102,2444.10853284628,"SDGE","2024-07-14","model7",2024-07-14 16:00:00
"LM",2058.55226273725,1671.32977362462,2445.77475184988,"SDGE","2024-07-14","model7",2024-07-14 17:00:00
"LM",1932.2521190795,1545.02962996687,2319.47460819213,"SDGE","2024-07-14","model7",2024-07-14 18:00:00
"LM",1661.45147250039,1274.22898338776,2048.67396161302,"SDGE","2024-07-14","model7",2024-07-14 19:00:00
"LM",1529.18887882519,1141.96638971256,1916.41136793782,"SDGE","2024-07-14","model7",2024-07-14 20:00:00
"LM",1480.06307286082,1092.84058374819,1867.28556197345,"SDGE","2024-07-14","model7",2024-07-14 21:00:00
"LM",1513.89117320079,1126.66868408816,1901.11366231342,"SDGE","2024-07-14","model7",2024-07-14 22:00:00
"LM",1613.25007901877,1226.02758990614,2000.4725681314,"SDGE","2024-07-14","model7",2024-07-14 23:00:00
"LM",143.17953620615,113.171246760969,173.187825651331,"VEA","2024-07-14","model5",2024-07-14
"LM",155.929586380298,125.921296935117,185.937875825479,"VEA","2024-07-14","model5",2024-07-14 01:00:00
"LM",149.264832874347,119.256543429166,179.273122319528,"VEA","2024-07-14","model5",2024-07-14 02:00:00
